product_id,title,authors,original_price,current_price,quantity,category,n_review,avg_rating,pages,manufacturer,discount
185071145,Sói Đầu Đàn Và Cún Nhỏ - Tập 2,Ma Vĩ,135000,101000,2418,Others,903,5,192,Nhà Xuất Bản Hà Nội,0.25
202769486,TỬ HUYỆT CẢM XÚC,Roy Garn,149000,119200,39,Others,1,5,330,Nhà Xuất Bản Hồng Đức,0.2
10383904,Tôi Là Bêtô,Nguyễn Nhật Ánh,85000,68000,584,Truyện dài,136,5,330,Unknown,0.2
52004412,D. Trump - Nghệ Thuật Đàm Phán (Tái bản 2020),Donald J.Trump & Tony Schwartz,109000,77800,3379,"Sách quản trị, lãnh đạo",470,4.8,328,NXB Trẻ,0.29
196849403,"Gửi Em, Người Bất Tử - Tập 8 (Tái Bản 2022)",Yoshitoki Oima,30000,26000,217,Others,26,5,330,NXB Trẻ,0.13
52218420,"Điềm Tĩnh Trong Bận Rộn - Ít Hơn, Hiệu Quả Hơn",Unknown,60000,60000,1,Sách kỹ năng làm việc,0,0,232,Nhà Xuất Bản Thanh Niên,0
101870295,Thiên Quan Tứ Phúc - Tập 3,Mặc Hương Đồng Khứu,159000,91200,1879,Truyện ngôn tình,753,5,330,Nhà Xuất Bản Hà Nội,0.43
182551492,Black Jack 10 (Bìa Mềm),Osamu Tezuka,30000,26000,918,Others,112,5,200,NXB Trẻ,0.13
187622420,The Art and Science of Technical Analysis – Phân tích kỹ thuật: Sự kết hợp giữa KHOA HỌC và NGHỆ THUẬT trong đầu tư chứng khoán,Unknown,569000,569000,194,"Sách tài chính, tiền tệ",31,4.7,700,Nhà Xuất Bản Thế Giới,0
71553539,Ehon - Cây Sồi (Tái Bản 2020),Akiko Kameoka,49000,34300,1040,Truyện tranh Ehon,133,4.8,36,Nhà Xuất Bản Lao Động,0.3
168559528,Chiêm Tinh Học For Dummies,Rae Orion,249000,174300,159,Sách Chiêm Tinh - Horoscope,31,4.7,528,Nhà Xuất Bản Thế Giới,0.3
176824199,Thần Số Học - Làm Chủ Cuộc Đời,Michelle Buchanan,138000,109000,686,Others,119,4.8,304,Nhà Xuất Bản Dân Trí,0.21
92096347,Trở Về Từ Xứ Tuyết (Tái Bản),Nguyên Phong,92000,60700,408,Others,81,5,232,Nhà Xuất Bản Thế Giới,0.34
105778970,Nhật Ký Tarot,Unknown,199000,143000,1165,Sách Chiêm Tinh - Horoscope,303,5,328,Nhà Xuất Bản Thế Giới,0.28
75630601,Trí Tuệ Tài Chính Dành Cho Nhà Quản Lý Nhân Sự,Unknown,199000,121900,571,"Sách quản trị, lãnh đạo",88,4.7,368,Nhà Xuất Bản Công Thương,0.39
191801175,Nhịn Khô,Sergey Filonov,139000,97300,219,Kiến thức - Bách khoa,17,4.7,296,Nhà Xuất Bản Thế Giới,0.3
4363787,Animorphs - Người Hóa Thú (Tập 5) : Thú Săn Mồi,Katherine Applegate,63000,63000,47,Truyện Giả tưởng - Huyền Bí - Phiêu Lưu,4,4.8,168,Unknown,0
70016684,B2B Tinh Gọn - Xây Dựng Sản Phẩm Mà Các Doanh Nghiệp Muốn,Estienne Garbugli,148000,111000,352,Sách Marketing - Bán hàng ,49,4.7,330,Nhà Xuất Bản Phụ Nữ Việt Nam,0.25
201048327,666 Satan - Tập 1,Seishi Kishimoto,30000,27100,115,Others,14,5,330,Nhà Xuất Bản Kim Đồng,0.1
11841468,Đừng Bán Bảo Hiểm Hãy Trao Giải Pháp,Pilot Nguyễn,120000,97100,3763,Sách kỹ năng làm việc,184,4.7,248,Nhà Xuất Bản Tổng hợp TP.HCM,0.19
111271075,Nói Với Con Về Giới Tính,Educate and Empower Kids,138000,82800,324,Sách Hôn Nhân - Giới Tính,44,4.5,320,Nhà Xuất Bản Dân Trí,0.4
160370181,Khói Trời Lộng Lẫy (Tập Truyện Ngắn Nguyễn Ngọc Tư)(Tái Bản),Nguyễn Ngọc Tư,90000,64200,345,Truyện ngắn - Tản văn - Tạp Văn,53,5,144,NXB Trẻ,0.29
130996086,Hình Hài Của Nước,Guillermo Del Toro,186000,111600,741,Tiểu Thuyết,177,5,408,Nhà Xuất Bản Hội Nhà Văn,0.4
57442540,AFTERMATH: Ác Quỷ Rừng Phế Tích,Nam Thanh,150000,97000,226,Truyện Giả tưởng - Huyền Bí - Phiêu Lưu,67,4.7,296,Nhà Xuất Bản Văn Hóa - Văn Nghệ TP.HCM,0.35
178294073,Trading in The Zone - Thực Hành Kiểm Soát Cảm Xúc bằng Tâm Lý Học Hành Vi trong Đầu Tư và Giao Dịch,Mark Douglas,295000,295000,738,"Sách tài chính, tiền tệ",98,4.8,288,Nhà Xuất Bản Thanh Niên,0
2782635,Nghệ Thuật Quản Lý Tài Chính Cá Nhân,Brian Tracy,159000,95000,183,Sách kỹ năng làm việc,18,4.7,324,Nhà Xuất Bản Lao Động,0.4
102629342,999 Lá Thư Gửi Cho Chính Mình (**) - Tập 2 - Mong Bạn Trở Thành Phiên Bản Hạnh Phúc Nhất (Tái bản),Miêu Công Tử,129000,91500,1505,Others,221,5,200,Nhà Xuất Bản Thanh Niên,0.29
49460092,Hệ Miễn Dịch: Khám Phá Cơ Chế Tự Phòng Chữa Bệnh Của Cơ Thể Người,Daniel M. Davis,149000,97001,2867,Others,263,4.7,300,Nhà Xuất Bản Dân Trí,0.35
76528029,Trứng Chim Cúc Cu Này Thuộc Về Ai? (Tặng Kèm Bookmark Cúc Cu),Keigo Higashino,139000,85180,1028,Truyện trinh thám,300,5,436,Nhà Xuất Bản Văn Học,0.39
46107066,Học Cách Học,Barbara Oakley,159000,111300,340,Others,22,5,280,Nhà Xuất Bản Thế Giới,0.3
68330624,Dế Mèn Phiêu Lưu Ký – Đậu Đũa Minh Họa - Ấn Bản Kỉ Niệm 100 Năm Tô Hoài,Tô Hoài,225000,169000,2378,Truyện tranh thiếu nhi,540,5,176,Nhà Xuất Bản Kim Đồng,0.25
1057434,Stem – Khoa Học Siêu Gần Gũi,Vicky Barker,59000,43070,1119,Kiến thức - Bách khoa,25,4.3,32,Unknown,0.27
19918848,Bác Kỳ Tạp Lục,Variétés Tonkinoises,199000,169150,20,Phóng sự - Ký sự - Bút ký,7,4.7,518,Unknown,0.15
